date,ticker,pct_change_prev_close,day_percent_change,max_day_percent_change,source,title,description,url,same_or_prev,date_time_story,nltk_pos_minus_neg_title,nltk_pos_minus_neg_description,nltk_pos_minus_neg_article,nltk_compound_title,nltk_compound_description,nltk_compound_article,tb_polarity_title,tb_polarity_description,tb_polarity_article,stanza_sentiment_article,open_price,close_price,percent_change,max_percent_change,volume,average_volume
4/13/20,XSPA,45.2,40.61872238,42.58738449,gnw,XpresSpa Appoints Doctor Lewis Lipsey as First Chief Medical Director for Its XpresTest Subsidiary,"NEW YORK, April 13, 2020 (GLOBE NEWSWIRE) -- XpresSpa Group, Inc. (Nasdaq: XSPA) (“XpresSpa” or the “Company”), a health and wellness company, announced today that Lewis Lipsey, MD, has joined the...",https://www.globenewswire.com/news-release/2020/04/13/2015101/0/en/XpresSpa-Appoints-Doctor-Lewis-Lipsey-as-First-Chief-Medical-Director-for-Its-XpresTest-Subsidiary.html,same,04/13/2020 10:06,0.0,0.091,0.08399999999999999,0.0,0.4404,0.9909,0.125,0.13636363636363635,0.17368686868686872,0.21739130434782608,0.7467,1.05,0.4061872237846525,0.4258738449176375,24154363.33333333,4677687
5/6/20,RMBL,41.1,30.95238095,57.14285714,bw,RumbleOn Appoints Michael Marchlik to its Board of Directors,"RumbleOn, Inc (NASDAQ: RMBL), the e-commerce company using innovative technology to simplify how dealers and consumers buy, sell, trade or finance pre-owned vehicles, today announced the appointment o...",http://www.businesswire.com/news/home/20200506005954/en/RumbleOn-Appoints-Michael-Marchlik-to-its-Board-of-Directors,same,05/06/2020 16:05,0.0,0.097,0.11299999999999999,0.0,0.4404,0.9872,0.0,0.5,0.12976190476190477,0.25,8.4,11,0.3095238095238095,0.5714285714285713,2173938.3500000006,119600
7/13/20,NXTC,-54.4,-35.92767296,1.965408805,gnw,NextCure Provides an Interim Update of the Phase 2 Portion of the NC318 Monotherapy Phase 1/2 Trial and Announces Departure of Chief Medical Officer,"BELTSVILLE, Md., July 13, 2020 (GLOBE NEWSWIRE) -- NextCure, Inc. (Nasdaq: NXTC), a clinical-stage biopharmaceutical company committed to discovering and developing novel, first-in-class...",https://www.globenewswire.com/news-release/2020/07/13/2061067/0/en/NextCure-Provides-an-Interim-Update-of-the-Phase-2-Portion-of-the-NC318-Monotherapy-Phase-1-2-Trial-and-Announces-Departure-of-Chief-Medical-Officer.html,same,07/13/2020 06:05,0.0,0.18,-0.03900000000000001,0.0,0.5267,-0.9538,0.0,0.0,0.07290209790209791,-0.3076923076923077,12.75,8.15,-0.3607843137254902,0.017254901960784365,6678639,203691
7/13/20,NXTC,-54.4,-36.07843137,1.725490196,gnw,NextCure Provides an Interim Update of the Phase 2 Portion of the NC318 Monotherapy Phase 1/2 Trial and Announces Departure of Chief Medical Officer,"BELTSVILLE, Md., July 13, 2020 (GLOBE NEWSWIRE) -- NextCure, Inc. (Nasdaq: NXTC), a clinical-stage biopharmaceutical company committed to discovering and developing novel, first-in-class...",https://www.globenewswire.com/news-release/2020/07/13/2061067/0/en/NextCure-Provides-an-Interim-Update-of-the-Phase-2-Portion-of-the-NC318-Monotherapy-Phase-1-2-Trial-and-Announces-Departure-of-Chief-Medical-Officer.html,same,07/13/2020 06:05,0.0,0.18,-0.03900000000000001,0.0,0.5267,-0.9538,0.0,0.0,0.07290209790209791,-0.3076923076923077,12.75,8.15,-0.3607843137254902,0.017254901960784365,6678639,203691
7/15/20,SALM,30.2,30.58035714,80.80357143,bw,Salem Host Appointed by President Trump,"Salem Media Group, Inc. (Nasdaq: SALM) announced today that President Donald Trump has appointed Salem Radio Network host Dr. Sebastian Gorka to the National Security Education Board. The board provid...",http://www.businesswire.com/news/home/20200715005872/en/Salem-Host-Appointed-by-President-Trump,same,07/15/2020 15:35,0.0,0.076,0.1,0.0,0.34,0.9468,0.0,0.0,0.26481481481481484,0.3333333333333333,0.896,1.17,0.30580357142857134,0.8080357142857144,4527439,339880
9/9/20,AEHR,-23.8,-25,0,gnw,Aehr Test Systems announces changes to its Board of Directors,"FREMONT, Calif., Sept. 09, 2020 (GLOBE NEWSWIRE) -- Aehr Test Systems (NASDAQ: AEHR), a worldwide supplier of semiconductor test and reliability qualification equipment, today announced it has...",https://www.globenewswire.com/news-release/2020/09/09/2090787/11245/en/Aehr-Test-Systems-announces-changes-to-its-Board-of-Directors.html,same,09/09/2020 07:30,0.0,0.0,0.106,0.0,0.0,0.9485,0.0,0.0,0.13923076923076924,0.1,1.84,1.38,-0.2500000000000001,0.0,972505,201862
10/27/20,SYNL,27.1,29.67581047,35.89775561,bw,Synalloy Announces Retirement of Craig Bram and Appointment of Chris Hutter as Interim CEO,"Synalloy Corporation (NASDAQ: SYNL) today announced that Craig Bram will retire as President and Chief Executive Officer and as a member of the Synalloy’s Board of Directors, effective as of the filin...",http://www.businesswire.com/news/home/20201027005346/en/Synalloy-Announces-Retirement-of-Craig-Bram-and-Appointment-of-Chris-Hutter-as-Interim-CEO,same,10/27/2020 09:00,0.0,0.094,0.19699999999999998,0.0,0.4767,0.9931,0.0,0.6,0.23049019607843135,0.4444444444444444,4.01,5.2,0.2967581047381547,0.35897755610972565,2544665,22577
11/24/20,YJ,90.7,66.27906977,121.3178295,gnw,Yunji Announces the Signing of a Cooperative Framework Agreement with Douyin,"HANGZHOU, China, Nov. 25, 2020 (GLOBE NEWSWIRE) -- Yunji Inc. (“Yunji” or the “Company”) (NASDAQ: YJ), a leading membership-based social e-commerce platform, today announced that it has signed a...",https://www.globenewswire.com/news-release/2020/11/24/2133221/0/en/Yunji-Announces-the-Signing-of-a-Cooperative-Framework-Agreement-with-Douyin.html,same,11/24/2020 16:30,0.262,0.0,0.07700000000000001,0.4939,0.0,0.9902,0.0,0.03333333333333333,0.08506909756909758,0.09523809523809523,2.58,4.29,0.6627906976744186,1.2131782945736433,110872214,294451
11/25/20,ELYS,59.6,59.57446809,87.94326241,bw,Elys Game Technology Announces Appointment of Senior Gaming Industry Executive Matteo Monteverdi to CEO,"Elys Game Technology, Corp. (“Elys” or the “Company”) (Nasdaq:ELYS), an interactive gaming and sports betting technology company, today announced the appointment of Matteo Monteverdi as Chief Executiv...",http://www.businesswire.com/news/home/20201125005670/en/Elys-Game-Technology-Announces-Appointment-of-Senior-Gaming-Industry-Executive-Matteo-Monteverdi-to-CEO,same,11/25/2020 09:09,0.0,0.0,0.093,0.0,0.0,0.994,-0.4,-0.4,0.10808417508417507,0.22727272727272727,1.41,2.25,0.5957446808510639,0.8794326241134752,17262843,560564
12/10/20,EGHT,34.7,21.1928934,26.52284264,bw,8x8 Appoints Dave Sipes as CEO,"8x8, Inc. (NYSE: EGHT), a leading integrated cloud communications platform provider, today appointed Dave Sipes as Chief Executive Officer and member of the board of directors. The company also reaffi...",http://www.businesswire.com/news/home/20201210005290/en/8x8-Appoints-Dave-Sipes-as-CEO,same,12/10/2020 08:30,0.0,0.0,0.061000000000000006,0.0,0.0,0.9888,0.0,0.0,0.02681713447842479,-0.03333333333333333,23.64,28.65,0.2119289340101522,0.2652284263959391,12413210,892498
1/19/21,GEVO,72.3,24.49209932,31.82844244,gnw,"Gevo Congratulates Nobel-Prize Winner and Co-founder, Frances Arnold for Being Named to President-Elect Joe Biden’s Science Team","ENGLEWOOD, Colo., Jan. 19, 2021 (GLOBE NEWSWIRE) -- Gevo, Inc. (NASDAQ: GEVO) announced today that Frances H. Arnold, a Nobel-Prize recipient and Gevo’s Co-Founder, has been named to President-Elect...",https://www.globenewswire.com/news-release/2021/01/19/2160688/23976/en/Gevo-Congratulates-Nobel-Prize-Winner-and-Co-founder-Frances-Arnold-for-Being-Named-to-President-Elect-Joe-Biden-s-Science-Team.html,same,01/19/2021 09:00,0.192,0.0,0.125,0.5859,0.0,0.9559,0.0,0.0,0.175,0.5714285714285714,8.86,11.03,0.244920993227991,0.31828442437923254,149739350,13179333
1/26/21,PMD,34.3,31.91489362,31.91489362,gnw,"Andrew Limbek Joins Psychemedics Corporation as Vice President, Controller","ACTON, Mass., Jan. 26, 2021 (GLOBE NEWSWIRE) -- Psychemedics Corporation (NASDAQ: PMD) announced that Andrew Limbek has joined the Company as Vice President, Controller. In this important role,...",https://www.globenewswire.com/news-release/2021/01/26/2164659/0/en/Andrew-Limbek-Joins-Psychemedics-Corporation-as-Vice-President-Controller.html,same,01/26/2021 15:28,0.0,0.069,0.099,0.0,0.25,0.9829,0.0,0.4,0.1208459595959596,0.1111111111111111,5.64,7.44,0.3191489361702129,0.3191489361702129,326580,26555
2/8/21,RIOT,40.2,20.10989011,20.51282051,gnw,Riot Blockchain Announces Appointment of Jason Les as CEO and Appointment of New Director,"Castle Rock, CO, Feb. 08, 2021 (GLOBE NEWSWIRE) -- Riot Blockchain, Inc. (NASDAQ: RIOT) (""Riot”, “Riot Blockchain” or the “Company""), one of the few NASDAQ-listed bitcoin mining companies in the...",https://www.globenewswire.com/news-release/2021/02/08/2171416/0/en/Riot-Blockchain-Announces-Appointment-of-Jason-Les-as-CEO-and-Appointment-of-New-Director.html,same,02/08/2021 08:45,-0.217,-0.11,0.101,-0.5574,-0.5574,0.9939,0.13636363636363635,-0.2,0.18981904761904758,0.4,27.3,32.79,0.20109890109890102,0.20512820512820504,52243976,24013715
2/24/21,GME,103.9,105.1677852,105.1677852,gnw,GameStop Announces Resignation of CFO and Succession Plan to Support Transformation,"GRAPEVINE, Texas, Feb. 23, 2021 (GLOBE NEWSWIRE) -- GameStop Corp. (NYSE: GME), (“GameStop” or the “Company”) today announced that Jim Bell, Executive Vice President and Chief Financial Officer,...",https://www.globenewswire.com/news-release/2021/02/23/2180940/0/en/GameStop-Announces-Resignation-of-CFO-and-Succession-Plan-to-Support-Transformation.html,prev,02/23/2021 16:31,0.156,0.0,0.051,0.3182,0.0,0.8074,0.0,0.0,0.044642857142857144,-0.1111111111111111,44.7,91.71,1.051677852348993,1.051677852348993,83111740,13934738
3/11/21,AVEO,-22.3,-33.31460674,2.471910112,bw,AVEO Announces Appointment of Mike Ferraresso to Chief Commercial Officer,"AVEO Oncology (Nasdaq:AVEO) today announced the appointment of Mike Ferraresso to chief commercial officer. Mr. Ferraresso will be responsible for managing AVEO’s commercial strategy and operations, i...",http://www.businesswire.com/news/home/20210310006000/en/AVEO-Announces-Appointment-of-Mike-Ferraresso-to-Chief-Commercial-Officer,prev,03/10/2021 17:52,0.0,0.081,0.083,0.0,0.3182,0.9821,0.0,0.06666666666666667,0.06936868686868687,0.07142857142857142,17.8,11.87,-0.3331460674157304,0.024719101123595377,36510397,1400188
3/24/21,GME,-33.8,-23.82580073,5.690593746,gnw,GameStop Appoints Chief Operating Officer,"GRAPEVINE, Texas, March 23, 2021 (GLOBE NEWSWIRE) -- GameStop Corp. (NYSE: GME) (“GameStop” or the “Company”) today announced that it has appointed Jenna Owens to the role of Chief Operating...",https://www.globenewswire.com/news-release/2021/03/23/2198126/0/en/GameStop-Appoints-Chief-Operating-Officer.html,prev,03/23/2021 16:40,0.0,0.0,0.062,0.0,0.0,0.7269,0.0,0.0,0.008333333333333335,0.0,157.98,120.34,-0.23825800734270153,0.056905937460438094,24177877,13934738
